,@context,@type,author.@type,author.name,author.sameAs,author.url,claimReviewed,datePublished,itemReviewed.@type,itemReviewed.author.@type,itemReviewed.author.name,itemReviewed.author.sameAs,itemReviewed.datePublished,reviewRating.@type,reviewRating.alternateName,reviewRating.bestRating,reviewRating.ratingValue,reviewRating.worstRating,url
41,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Op een school in Ierland dwaalt een spook rond.,2017/11/16,CreativeWork,Organization,"Algemeen Dagblad, De Telegraaf en Hart van Nederland",https://www.ad.nl/bizar/spook-gespot-op-bewakingsvideo-ierse-school~va342e10d/,,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/spook-teistert-ierse-school/
42,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Oplichters verleiden je ertoe om in een telefoongesprek 'ja' te zeggen en nemen dat op om te gebruiken als vervalste aankoopbevestiging.,2017/11/17,CreativeWork,Organization,volgendevideo.nl,https://volgendevideo.nl/index.php/2017/10/30/criminelen-bellen-contracten-7/,2017/10/30,Rating,deels onwaar,3,2,1,http://nieuwscheckers.nl/nieuwscheckers/telefoonfraude-kunt-u-mij-horen/
43,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Hackers vormen ook gevaar voor consumenten.,2017/11/17,CreativeWork,Organization,EenVandaag,https://eenvandaag.avrotros.nl/item/frontlijn-in-de-huiskamer-hoe-cybercriminelen-ons-huis-binnendringen/,2017/10/15,Rating,waar,3,3,1,http://nieuwscheckers.nl/nieuwscheckers/what-the-hack-ook-apparaten-gewone-burger-doelwit-voor-hackers/
44,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Herhaalde kerst-songs zijn slecht voor onze geestelijke gezondheid.,2017/11/28,CreativeWork,Organization,EenVandaag,https://eenvandaag.avrotros.nl/item/waarschuwing-herhalende-kerstliedjes-schadelijk-voor-de-gezondheid/,2017/11/06,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/jingle-hell-is-kerstmuziek-slecht-voor-je-gezondheid/
45,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Wasverzachters vergiftigen ons.,2017/11/21,CreativeWork,Organization,clickbaitsites,http://worldunity.me/dit-vergiftigt-ons-elke-dag-en-we-zijn-het-ons-er-niet-eens-van-bewust/,2016/04/14,Rating,niet te checken,3,-1,1,http://nieuwscheckers.nl/nieuwscheckers/wasverzachters-gevaarlijk-voor-onze-gezondheid-niet-bewezen/
46,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Dieven klemmen een muntje tussen de deurklink van een auto om diefstal voor te bereiden.,2017/11/24,CreativeWork,Organization,Viraalned,http://www.viraalned.nu/op-als-ooit-muntje-vast-ziet-zitten-auto-deur-dan-moet-rennen-want-anders-leven-kosten/,2017/11/18,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/dieven-saboteren-autoslot-met-muntje/
47,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,"Een Amerikaanse brouwerij heeft bier gemaakt dat de menopauzesymptomen slapeloosheid, opvliegers en stemmingswisselingen verlicht.",2017/11/24,CreativeWork,Organization,Nu.nl,https://www.nu.nl/156005/video/brouwerij-vs-maakt-bier-dat-mogelijk-bij-menopauze-helpt.html,2017/10/06,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/bier-dat-vrouwen-helpt-tijdens-de-menopauze-meer-reclame-dan-nieuws/
48,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Wifistraling is erg schadelijk voor de gezondheid en voor ongeboren kinderen.,2017/10/07,CreativeWork,Organization,http://healthbytes.me,http://healthbytes.me/wist-jij-hoe-schadelijk-wifi-is-voor-de-gezondheid-dit-zijn-de-harde-feiten/,,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/wifi-erg-slecht-voor-gezondheid-en-ongeboren-kind/
49,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Famke uit Amsterdam wordt met vuurwerk in brand gestoken door lichtgetinte jongens.,2017/10/13,CreativeWork,Organization,www.niet100.tv,http://niet100.tv/2017/10/famke-uit-amsterdam-wordt-in-de-fik-gestoken-door-licht-getinte-jongens/,2017/10/12,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/famke-uit-amsterdam-met-vuurwerk-in-brand-gestoken/
50,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Instant-noedels zijn slecht voor de gezondheid en verhogen de kans op het metaboolsyndroom.,2017/10/14,CreativeWork,Organization,http://vrouwendingen.com,http://vrouwendingen.com/index.php/noodles-ongezond/,2017/10/05,Rating,deels onwaar,3,2,1,http://nieuwscheckers.nl/nieuwscheckers/hoe-ongezond-zijn-instant-noedels/
51,http://schema.org,ClaimReview,Organization,Nieuwscheckers,,http://www.nieuwscheckers.nl,Met een speciale actie maak je kans op gratis winkelen bij Action.,2017/10/13,CreativeWork,Organization,http://win.deals.nu,http://win.deals.nu/c/7118a2ccef517cd6?cId=A1,2017/10/12,Rating,onwaar,3,1,1,http://nieuwscheckers.nl/nieuwscheckers/gratis-winkelen-bij-action/
