category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
type(Argument 2),,,,,,,,,SimpleArgument #1,SimpleArgument #1,SimpleArgument #2,SimpleArgument #2,SimpleArgument #3,SimpleArgument #3,SimpleArgument #4,SimpleArgument #4,TemporalArgument #1,TemporalArgument #1,TemporalArgument #2,TemporalArgument #2,TemporalArgument #3,TemporalArgument #3,SpatialArgument #1,SpatialArgument #1,SpatialArgument #2,SpatialArgument #2,
datatype,,,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,string,index,
396,"""Facebook will donate money to help a child with cancer every time an appeal for help is liked or shared.""",0.9340144006364329,,,Facebook,"(6, 14)",will donate,"(15, 26)",money,"(27, 32)",to help a child with cancer every time an appeal for help is liked,"(33, 99)",,,,,,,,,,,,,,,242
397,"""Prison imam is questioned about Islamic attitude toward infidels.""",0.7877083798986204,,,Prison imam,"(3, 14)",is questioned,"(15, 28)",,,,,,,,,,,,,,,,,,,243
406,"""At the moment the Titanic hit an iceberg in the north Atlantic, the silent version of the film The Poseidon Adventure was being screened aboard ship.""",0.8034186648553394,,,The Poseidon Adventure,"(98, 120)",was being screened,"(121, 139)",,,,,,,,,,,,,,,,,,,248
407,"""At the moment the Titanic hit an iceberg in the north Atlantic, the silent version of the film The Poseidon Adventure was being screened aboard ship.""",0.9729809030941632,,,the Titanic,"(17, 28)",hit,"(29, 32)",an iceberg in the north Atlantic,"(33, 65)",,,,,,,At the moment,"(3, 16)",,,,,,,,,248
430,"""Trey Gowdy was forced into protective custody after two people investigating Hillary Clinton went missing.""",0.8073705620218985,,,two people investigating Hillary Clinton,"(55, 95)",missing,"(101, 108)",,,,,,,,,,,,,,,,,,,262
431,"""Trey Gowdy was forced into protective custody after two people investigating Hillary Clinton went missing.""",0.8875444648461035,,,two people investigating Hillary Clinton,"(55, 95)",went,"(96, 100)",missing,"(101, 108)",,,,,,,,,,,,,,,,,262
432,"""Trey Gowdy was forced into protective custody after two people investigating Hillary Clinton went missing.""",0.9180804252893388,,,two people,"(55, 65)",investigating,"(66, 79)",Hillary Clinton,"(80, 95)",,,,,,,,,,,,,,,,,262
433,"""Trey Gowdy was forced into protective custody after two people investigating Hillary Clinton went missing.""",0.9382554258342916,,,Trey Gowdy,"(3, 13)",was forced,"(14, 24)",into protective custody,"(25, 48)",,,,,,,after two people investigating Hillary Clinton went missing,"(49, 108)",,,,,,,,,262
438,"""Members of Congress continue to get paid but military personnel do not during a U.S. government shutdown.""",0.9180804252893388,,,military personnel,"(0, 18)",do not,"(19, 25)",,,,,,,,,during a U.S. government shutdown,"(26, 59)",,,,,,,,,265
439,"""Members of Congress continue to get paid but military personnel do not during a U.S. government shutdown.""",0.7755203445549392,,,Members of Congress,"(6, 25)",to get paid,"(35, 46)",,,,,,,,,,,,,,,,,,,265
440,"""Members of Congress continue to get paid but military personnel do not during a U.S. government shutdown.""",0.8461325993092583,,,Members of Congress,"(6, 25)",get,"(38, 41)",paid,"(42, 46)",,,,,,,,,,,,,,,,,265
441,"""Members of Congress continue to get paid but military personnel do not during a U.S. government shutdown.""",0.8306090960787457,,,Members of Congress,"(6, 25)",continue,"(26, 34)",to get paid,"(35, 46)",,,,,,,,,,,,,,,,,265
463,"""A series of images show a ""direct energy weapon"" striking a city in Michigan.""",0.9330821208486696,,,a direct energy weapon,"(27, 51)",striking,"(54, 62)",a city,"(63, 69)",,,,,,,,,,,,,in Michigan,"(70, 81)",,,275
464,"""A series of images show a ""direct energy weapon"" striking a city in Michigan.""",0.8149722849933014,,,A series of images,"(3, 21)",show,"(22, 26)",,,,,,,,,,,,,,,,,,,275
469,"""Kurt Cobain predicted or endorsed a Donald Trump presidency in 1993.""",0.7877083798986204,,,Kurt Cobain,"(6, 17)",predicted,"(18, 27)",,,,,,,,,,,,,,,,,,,277
507,"""Rep. Sheila Jackson Lee (D-Tx.) tweeted that President Trump was determined to start a war with 'North Japan'.""",0.941452121472881,Rep. Sheila Jackson Lee ( D - Tx tweeted,"(3, 42)",President Trump,"(48, 63)",was,"(64, 67)",determined to start a war with 'North Japan,"(68, 111)",,,,,,,,,,,,,,,,,294
508,"""Rep. Sheila Jackson Lee (D-Tx.) tweeted that President Trump was determined to start a war with 'North Japan'.""",0.6968835057434567,,,Rep. Sheila Jackson Lee (D-Tx,"(3, 32)",tweeted,"(35, 42)",,,,,,,,,,,,,,,,,,,294
